id_equipe,Equipe,Saison
1,AFC Wimbledon,2024-2025
2,Acc'ton Stanley,2024-2025
3,Arsenal,2024-2025
4,Aston Villa,2024-2025
5,Barnsley,2024-2025
6,Barrow,2024-2025
7,Birmingham City,2024-2025
8,Blackburn,2024-2025
9,Bolton,2024-2025
10,Bournemouth,2024-2025
11,Brentford,2024-2025
12,Brighton,2024-2025
13,Bristol City,2024-2025
14,Bristol Rovers,2024-2025
15,Bromley,2024-2025
16,Burnley,2024-2025
17,Cardiff City,2024-2025
18,Chelsea,2024-2025
19,Colchester Utd,2024-2025
20,Coventry City,2024-2025
21,Crawley Town,2024-2025
22,Crystal Palace,2024-2025
23,Doncaster,2024-2025
24,Everton,2024-2025
25,Exeter City,2024-2025
26,Fulham,2024-2025
27,Ipswich Town,2024-2025
28,Leicester City,2024-2025
29,Leyton Orient,2024-2025
30,Liverpool,2024-2025
31,Luton Town,2024-2025
32,Manchester City,2024-2025
33,Manchester Utd,2024-2025
34,Millwall,2024-2025
35,Morecambe,2024-2025
36,Newcastle Utd,2024-2025
37,Norwich City,2024-2025
38,Nott'ham Forest,2024-2025
39,P'borough Utd,2024-2025
40,Plymouth Argyle,2024-2025
41,Preston,2024-2025
42,QPR,2024-2025
43,Salford City,2024-2025
44,Sheffield Weds,2024-2025
45,Southampton,2024-2025
46,Stockport,2024-2025
47,Stoke City,2024-2025
48,Swansea City,2024-2025
49,Tamworth,2024-2025
50,Tottenham,2024-2025
51,Tranmere Rovers,2024-2025
52,Walsall,2024-2025
53,Watford,2024-2025
54,West Brom,2024-2025
55,West Ham,2024-2025
56,Wigan Athletic,2024-2025
57,Wolves,2024-2025
58,Wycombe,2024-2025
59,am FC Noah,2024-2025
60,az Qarabağ,2024-2025
61,be Club Brugge,2024-2025
62,be Gent,2024-2025
63,ch Servette FC,2024-2025
64,ch Young Boys,2024-2025
65,cz Sparta Prague,2024-2025
66,cz Viktoria Plzeň,2024-2025
67,de Bayern Munich,2024-2025
68,de Eint Frankfurt,2024-2025
69,de Heidenheim,2024-2025
70,de Hoffenheim,2024-2025
71,de Leverkusen,2024-2025
72,de RB Leipzig,2024-2025
73,dk FC Copenhagen,2024-2025
74,eng Manchester Utd,2024-2025
75,eng Tottenham,2024-2025
76,es Athletic Club,2024-2025
77,es Betis,2024-2025
78,es Girona,2024-2025
79,es Real Madrid,2024-2025
80,es Real Sociedad,2024-2025
81,fr Lille,2024-2025
82,fr Lyon,2024-2025
83,fr Monaco,2024-2025
84,fr Paris S-G,2024-2025
85,gr PAOK,2024-2025
86,gr Panathinaikos,2024-2025
87,hr Dinamo Zagreb,2024-2025
88,hu Ferencváros,2024-2025
89,ie Shamrock Rovers,2024-2025
90,it Atalanta,2024-2025
91,it Bologna,2024-2025
92,it Inter,2024-2025
93,it Juventus,2024-2025
94,it Milan,2024-2025
95,it Roma,2024-2025
96,kz Astana FK,2024-2025
97,nl AZ Alkmaar,2024-2025
98,nl Feyenoord,2024-2025
99,nl PSV Eindhoven,2024-2025
100,nl Twente,2024-2025
101,no Bodø/Glimt,2024-2025
102,pl Legia Warsaw,2024-2025
103,pt Porto,2024-2025
104,pt Sporting CP,2024-2025
105,ro FCSB,2024-2025
106,sct Celtic,2024-2025
107,sct Rangers,2024-2025
108,se Djurgården,2024-2025
109,se Elfsborg,2024-2025
110,sk Slovan Bratislava,2024-2025
111,tr Fenerbahçe,2024-2025
112,tr Galatasaray,2024-2025
113,ua Shakhtar,2024-2025
